site_id,year,N_fert_grower,N_fert_reduced,dul_dep,ll15_dep,root_depth,whc,LAI_max,rain_annual,day_sow,swdef_photo_fw,swdef_expan_fw,swdef_pheno_fw,L1,day_v5,sw_dep_v5,biomass_v5,surfaceom_wt_v5,root_wt_v5,lai_v5,oc_20cm_v5,oc_40cm_v5,n_20cm_v5,n_40cm_v5,n_60cm_v5,n_0_60cm_v5,n_deep_v5,esw_pct_v5,water_table_v5,sand_40cm,om_40cm,clay_40cm,restriction,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,rad_1,rad_2,rad_3,rad_4,rad_5,rad_6,Y_corn_lt_avg,lat,long,P,junk1,junk2,junk3,junk4,junk5,junk6,junk7,junk8,junk9,junk10,junk11,junk12,junk13,junk14,junk15
559,2017,190,150,620.7,347.4,1603,273.4,3.443,1022,99,0.9704,0.9321,1,5.52,134,706.5,773,295.1,747,0.5334,1.508,1.438,2.577,4.56,NA,13.64,10.28,1,2000,5.022,2.363,20.77,250,204,273,62,115,15,353,5.455,15.92,21.5,23.73,27.25,13.91,11.37,19.44,22,20.21,21.02,12.5,11660,39.1,-89.84,1418,26,9.29,NA,22.7,9,5.81,13.2,4.01,F5,F2,0,0,40,122,F1
562,2018,210,170,632.8,371.4,1581,261.5,NA,1176,99,0.9205,0.7842,1,NA,136,664.6,614.3,360.2,838.2,0.562,2.103,2.073,5.548,10.48,15.79,31.82,29.47,1,2000,4,3.434,NA,250,343,83,87,110,58,495,1.23,15.11,24.17,25.5,26.23,13.98,11.28,20.65,19.67,NA,21.47,NA,11260,39.09,-89.69,1535,43,6.2,108945,18.9,13,1.94,18.9,20.1,F5,F1,0,0,48,122,F1
568,2018,240,200,NA,324.7,1567,274,3.405,1195,100,0.9559,0.8295,1,22.64,135,618,532.8,423.9,841.8,0.497,1.046,0.9229,2.532,5.042,9.179,16.75,26.53,1,2000,5.913,1.487,15.32,250,365,NA,90,NA,53,514,1.345,15.27,24.01,NA,26.22,13.97,11.24,20.7,19.9,17.99,21.44,12.18,11520,NA,-89.37,1523,29,9.29,NA,1.89,6,NA,15.1,16.1,NA,F2,NA,0,40,122,F1
573,2017,190,150,580.1,331.4,1941,248.6,3.212,992,103,NA,0.9661,1,22.39,139,651.9,793.2,320.8,782.2,0.615,2.644,NA,NA,21.52,32.51,63.75,50.75,1,21.63,6.97,4.375,28.13,250,NA,247,54,59,90,NA,4.726,15.93,NA,23.24,25.52,12.84,11.72,19.14,22.59,20.18,18.98,12.19,13030,39.73,-88.61,1882,NA,15.5,104216,28.4,15,5.81,22.7,NA,F5,F2,0,0,25,NA,F1
574,2018,160,120,582,331,1928,251,3.034,1066,103,1,1,1,35.78,139,604.9,585.9,357.7,882.4,NA,2.736,2.683,12.86,NA,23.41,55,30.77,1,2000,6.424,4.518,28.05,250,286,68,114,82,44,472,0.1456,15.74,23.82,24.86,24.56,NA,NA,20.6,20.04,17.99,21.92,NA,13060,39.74,-88.59,1804,24,9.29,215251,18.9,13,9.68,7.56,8.03,F5,NA,0,0,50,122,F1
587,2017,170,130,571.4,315,1985,256.4,3.221,930,102,0.9995,0.9951,1,22.18,139,630.4,805.2,314.4,769.2,0.618,2.847,2.827,10.57,21.86,32.72,65.15,NA,1,2000,6.461,4.758,27.74,NA,187,248,73,NA,76,NA,4.77,15.84,21.19,23.16,25.36,12.89,11.72,NA,22.18,NA,NA,12.26,13170,39.72,-88.33,NA,38,9.29,219902,NA,NA,11.6,26.5,20.1,F3,F1,0,0,30,122,F1
588,2018,160,120,564.5,311.9,2000,252.7,3.188,1210,102,1,1,1,48.18,138,NA,577.6,383.2,875.1,0.575,2.976,2.974,13.32,19.11,23.92,56.35,32.75,1,2000,6.828,5.007,NA,250,320,67,143,134,36,510,-0.06618,15.45,23.69,24.82,NA,13.17,11.73,20.99,19.57,17.75,22.16,11.92,13220,39.68,-88.34,1909,39,9.29,365739,30.3,10,1.94,5.67,8.03,F5,F2,0,0,40,122,F1
599,2017,180,140,615.2,334.7,2000,280.5,3.244,864,102,1,1,1,NA,138,NA,NA,NA,778.8,0.572,2.584,2.551,10.67,23.69,35.18,69.54,52.46,1,2000,2.509,4.306,30.73,250,188,195,96,37,38,310,4.988,16.05,21.13,23.49,26.06,13.18,11.51,19.54,22.52,19.9,20.58,12.33,13570,39.68,-89.11,1956,19,9.29,NA,30.3,10,9.68,NA,8.03,F5,F1,0,0,15,122,NA
604,2018,170,130,592.2,331.5,1827,260.7,3.015,1096,102,1,1,1,41.37,137,608.1,542,387.7,885.3,0.547,2.617,2.611,15.07,27.11,37.69,79.86,54.88,1,2000,NA,4.35,26.03,250,274,63,38,NA,45,496,0.3946,15.67,NA,24.74,25.44,13.36,11.63,21.03,20.05,17.53,21.71,12.04,NA,39.64,-89,1733,47,6.2,93618,30.3,10,1.94,1.89,NA,F5,NA,0,0,33,NA,F1
605,2017,200,160,581.4,333.1,2000,248.3,3.24,871,102,1,0.9947,1,14.66,139,655.7,NA,NA,779.6,0.62,2.907,2.897,10.69,NA,35.19,69.42,53.37,1,20.96,7.491,4.826,27.33,250,186,NA,60,48,37,307,4.762,15.82,21.06,23.3,25.79,12.92,11.51,19.56,22.6,19.46,20.14,12.27,NA,39.61,-88.87,1883,34,9.29,182691,NA,9,1.94,7.56,16.1,F5,F2,0,0,44,122,F1
620,2018,180,140,NA,332,1867,258.1,3.007,1127,102,1,1,1,35.74,NA,605.9,593,368.5,870.2,NA,2.489,2.431,11.26,16.44,20.83,48.53,29.07,1,2000,6.532,4.08,26.26,250,NA,72,41,161,42,496,0.1324,15.58,23.95,24.79,25.12,13.29,NA,20.88,20.39,17.7,21.93,11.98,12910,39.61,-88.5,1758,NA,9.29,329530,3.78,7,5.81,5.67,4.01,F5,F2,0,0,40,82.1,F1
628,2018,170,130,NA,331,1934,249.2,3.205,1273,102,1,1,NA,42.01,138,611,585.6,375.3,NA,NA,2.776,2.728,11.92,17.29,21.8,51.01,30.68,1,2000,6.56,4.594,NA,250,350,78,165,109,45,526,0.1176,15.55,23.77,24.8,25.06,13.33,NA,20.97,19.6,17.63,21.64,11.98,12900,39.57,-88.33,1827,NA,9.29,362883,NA,9,NA,5.67,4.01,F5,F2,5013,NA,40,122,F1
636,2018,170,130,569.2,320.8,1981,NA,3.236,1303,102,NA,1,1,NA,138,589.7,584.6,424.3,877.3,0.578,2.646,2.546,11.25,15.81,19.68,46.74,28.52,1,2000,8,4.205,26.94,250,364,NA,197,86,40,562,0.1373,15.51,23.58,24.74,24.86,13.35,11.65,20.93,19.6,17.99,21.98,11.91,12750,39.55,-88.04,1916,49,3.1,128990,18.9,13,5.81,18.9,4.01,F5,F2,0,NA,40,122,F2
645,2017,180,140,580.7,334.1,1961,NA,3.216,911,102,0.9981,0.9946,1,20.29,138,NA,742.7,NA,790,0.556,2.906,2.895,10.02,22.44,34.15,66.6,53.43,1,2000,7.662,4.818,27.79,250,NA,236,85,NA,31,344,4.882,15.88,21.07,23.34,NA,13.05,11.68,19.39,22.7,19.49,20.18,12.28,13100,NA,-88.89,1785,38,9.29,33105,18.9,13,5.81,18.9,4.01,F1,F2,0,0,70,NA,F2
656,2018,180,140,593.2,331.5,1861,261.7,2.957,1162,101,1,1,1,36.78,NA,607.9,575.3,363.9,879.4,0.572,2.454,2.381,10.9,16.07,20.55,NA,28.86,NA,2000,5.942,3.998,NA,250,330,72,40,157,65,498,0.2871,15.4,24.02,NA,25.41,13.45,11.55,20.88,20.24,17.7,NA,11.98,12770,39.52,-88.63,1672,29,NA,137063,22.7,9,9.68,22.7,20.1,F5,F2,0,0,38,122,F1
663,2017,180,140,581.5,338.2,1869,243.3,3.14,953,102,1,NA,1,20.45,138,637.7,735.3,321.2,775.7,0.56,2.871,2.869,8.701,15.55,21.46,45.72,32.37,1,1682,8,4.824,28.44,250,166,255,86,71,33,342,4.968,15.91,21.24,23.2,25.71,13.09,11.81,19.16,22.59,19.43,20.03,12.33,12460,39.53,-88.39,1766,48,15.5,101233,17,NA,NA,15.1,24.1,F5,F1,0,NA,NA,122,F1
667,2017,180,140,586.6,339,1833,247.6,3.134,967,102,0.982,NA,1,18.17,138,NA,750.1,328.8,769.3,0.566,2.79,2.779,8.652,15.35,21.08,NA,31.78,1,1607,8,4.621,27.81,250,171,252,62,97,32,353,5.051,15.98,21.14,23.34,25.7,NA,11.73,19.62,22.6,19.4,20.23,12.34,12400,39.53,-88.35,1723,64,NA,195366,18.9,13,5.81,18.9,4.01,F5,F2,0,0,40,122,F1
676,2018,180,140,573.9,316.1,1969,257.8,3.23,1372,NA,1,NA,1,40.08,138,589.8,586.1,NA,867,0.586,2.326,2.178,10,13.86,17.22,NA,26.12,1,NA,8,3.583,24.6,250,374,51,222,86,35,604,0.3382,15.61,23.72,24.85,NA,13.49,11.76,21.06,19.7,17.98,22.02,11.99,12780,39.48,-88.03,1854,51,9.29,92463,22.7,9,5.81,1.89,4.01,F5,F2,0,0,40,NA,F1
732,2017,220,180,554.7,331.4,2000,NA,3.183,961,101,0.989,0.9508,1,21.92,137,616.1,867.1,305.8,764.5,0.609,2.296,2.111,6.469,NA,NA,33.62,23.48,1,2000,6.209,3.474,NA,250,167,290,45,67,46,346,4.98,15.76,21.04,23.41,26.15,13.48,11.7,19.01,23.01,20.12,20.57,12.44,12720,39.38,NA,1766,23,9.29,NA,17,11,NA,1.89,12,F5,NA,0,0,36,122,NA
738,2017,220,180,596.7,NA,2000,263.5,3.152,984,102,NA,0.9439,1,NA,137,655.1,882.8,308.4,731.9,0.614,0.9532,0.8419,3.772,9.375,16.96,30.11,36.68,1,NA,6.9,1.363,15.6,95.19,191,276,59,82,26,350,5.218,15.88,21.39,23.31,26.15,13.42,11.74,19.39,22.72,19.82,20.45,12.38,12840,39.31,-88.43,1881,74,NA,211075,22.7,9,5.81,15.1,4.01,F5,F2,0,0,30,122,F1
740,2017,200,160,620.7,358.9,1992,261.8,3.148,984,102,0.9837,0.9583,1,15.56,137.7,684.1,NA,310.5,NA,0.5989,NA,1.834,7.331,16.76,26.58,50.67,46.06,1,2000,9.235,3.04,21.82,185.4,191,276,59,82,26,350,5.218,NA,21.31,23.31,26.15,13.42,11.74,NA,22.9,NA,20.45,NA,12980,39.33,-88.46,1898,25,9.29,359985,9.46,3,9.68,1.89,8.03,NA,F1,0,0,NA,82.1,F1
748,2018,200,160,605.1,339.9,NA,265.2,3.221,1426,101,1,1,1,NA,137,618.9,550.6,408.8,857.2,0.5597,1.307,1.214,5.553,7.808,10.33,23.7,NA,1,2000,6.195,1.995,17.52,127.1,390,53,NA,191.6,40,645,0.7822,15.45,23.99,24.91,25.9,13.94,11.46,20.99,19.75,17.86,21.62,NA,12630,39.29,-88.08,1800,31,9.29,197860,30.3,10,5.81,11.3,4.01,F5,F2,0,0,40,122,F1
758,2017,210,170,634.9,371.1,1997,263.8,3.465,985,100,1,1,1,15.87,136,709.5,822.3,298.3,767.2,0.558,1.945,1.818,6.266,13.08,19.63,NA,29.97,1,2000,4.936,3.013,24.99,173.4,164,305,NA,59,NA,348,4.978,15.73,21.59,23.5,26.47,13.53,11.62,NA,22.52,19.94,20.98,NA,13320,39.3,-88.85,NA,78,9.29,135566,22.7,9,13.6,22.7,20.1,F5,F1,2329,0,12,122,F1
761,2017,210,170,615.1,348.5,2000,266.6,3.2,1014,101,0.9932,0.9682,NA,11.08,137,677.7,878.6,302.3,739.2,0.616,NA,1.041,3.518,6.346,9.485,19.35,16.64,1,2000,NA,1.681,19.36,171,177,299,53,69,47,369,5.054,NA,21.06,23.45,26.22,13.54,NA,19.14,NA,20.15,20.78,12.48,NA,39.28,-88.66,NA,NA,NA,NA,18.9,13,7.75,NA,8.03,F5,F2,0,0,50,NA,F1
764,2017,220,180,623,354.8,2000,268.2,3.219,1023,101,1,0.9933,1,NA,137,690.2,882.8,NA,745.4,0.618,1.421,1.293,4.902,11.87,20.51,37.28,39.73,1,2000,4.772,2.113,21.99,250,NA,298,59,72,NA,351,NA,NA,21.17,NA,26.18,13.56,11.69,19.13,22.76,19.98,19.83,NA,13060,NA,-88.61,1955,49,9.29,224393,18.9,NA,NA,7.56,4.01,F5,F2,0,0,55,122,F2
779,2017,210,170,602.4,329.2,1963,273.3,3.471,1049,100,0.9984,0.9958,1,17.27,NA,674.8,824.5,296.5,739.2,0.562,1.09,0.9365,3.832,9.531,17.73,31.09,38.26,1,1935,6.065,1.512,15.34,108.2,186,307,NA,80,27,359,4.972,15.76,21.58,23.34,26.41,13.44,11.65,18.83,22.58,19.72,21.07,12.44,13090,39.17,NA,1923,36,9.29,151835,22.7,9,5.81,15.1,NA,F5,F2,0,0,60,122,F2
784,2018,160,120,566,327.1,1971,238.9,3.226,1222,104,1,1,NA,46.56,139,607.6,537.7,411,NA,0.553,2.965,2.931,13.14,18.82,23.46,55.43,32.39,1,2000,7.376,4.87,29.39,NA,330,81,155,107,23,526,0.02644,15.44,23.38,24.77,NA,12.89,11.87,20.85,19.13,18.01,22.46,11.88,12980,39.75,-87.98,1934,21,9.29,383603,1.89,6,9.68,15.1,8.03,F5,F1,0,NA,35,122,F1
800,2018,160,120,576,NA,1954,245.2,3.237,NA,103,NA,1,1,NA,139,617.4,556.9,359,857.2,0.592,NA,2.809,14.7,23.92,32.83,71.45,52.61,1,2000,7.175,4.669,NA,250,355,87,168,95,26,567,0.0267,15.66,23.44,24.87,24.37,13.1,11.78,20.46,19.67,18.2,22.58,NA,12950,39.65,-87.92,1951,NA,9.29,NA,30.3,10,1.94,18.9,8.03,F5,F2,0,NA,40,122,F1
806,2018,180,140,503.1,284.7,2000,218.4,3.192,1326,103,1,1,1,50.24,139,548.4,547.6,405.6,857.6,0.586,2.346,2.223,10.1,13.76,17.07,40.93,NA,1,984.4,11.1,3.697,23.87,250,383,89,155,71,21,607,0.02913,15.61,23.34,24.79,24.29,NA,11.54,20.55,19.81,18.66,22.81,11.93,13060,39.7,-87.72,1883,41,18.6,363591,17,11,5.81,7.56,4.01,F5,F2,0,0,NA,NA,F1
865,2018,200,160,595.7,309.7,1913,NA,3.242,1482,102,1,1,1,42.42,137,609.4,541.6,475.7,NA,0.561,NA,1.101,5.3,NA,9.971,22.72,19.98,0.9944,2000,7.917,NA,17.41,246.8,NA,59,NA,215,23,684,0.8897,15.85,23.98,24.73,25.86,14.04,11.66,20.87,19.98,NA,NA,12.13,NA,NA,-87.75,1825,31,9.29,NA,13.2,5,5.81,5.67,4.01,F5,F2,0,0,40,122,F1
909,2018,200,160,603.5,315.3,2000,288.1,NA,1039,102,1,1,1,40.3,141,639.7,634.3,397.7,953.7,0.583,1.547,1.534,6.787,NA,16.29,35.43,20.98,1,2000,3.686,2.554,26.61,250,206,86,47,96,28,576,-2.397,14.21,23.51,24.62,24.35,NA,11.94,20.15,20.68,NA,21.43,11.43,13460,NA,-90.81,1517,45,9.29,327886,28.4,15,9.68,18.9,8.03,F5,F2,0,0,40,NA,NA
911,2018,180,140,605.4,321.3,2000,284.1,2.83,NA,102,1,1,1,38.28,141,642.5,634.3,397.7,954.5,0.583,2.323,2.31,9.479,16.07,20.76,46.31,NA,1,2000,NA,3.842,25.21,250,206,86,47,96,28,NA,-2.397,NA,NA,24.62,24.35,11.38,11.94,20.15,NA,18.69,21.43,11.43,13620,41.13,-90.75,1695,27,NA,280699,30.3,10,9.68,NA,20.1,F5,F1,0,0,40,122,NA
916,2017,200,160,601.1,NA,2000,287.1,2.764,912,104,1,1,1,15.81,144,652,880.2,317.4,799.9,0.625,1.998,1.968,6.855,11.95,NA,NA,22.8,1,2000,3.613,3.284,24.04,NA,212,180,53,78,NA,NA,NA,14.31,NA,22.46,23.14,10.7,11.18,19.65,22.49,19.83,20.39,NA,13470,41.14,-90.59,1738,32,9.29,222654,1.89,6,NA,13.2,8.03,F5,NA,0,0,40,122,F1
928,2017,200,160,NA,395.5,2000,198,3.039,824,NA,NA,0.8963,1,12.51,139,649.7,769.6,344.9,930.5,NA,3.018,3.016,14.84,28.07,NA,80.27,48.47,1,2000,31.06,5.182,29.92,250,181,134,NA,53,89,330,2.804,14.94,20.57,22.59,25.09,11.67,10.73,19.8,22.04,20.66,18.89,11.66,12820,41.06,-91,1753,35,NA,125933,NA,13,5.81,5.67,4.01,F5,F2,0,0,50,122,F2
957,2018,180,140,617.8,366.6,2000,NA,2.892,959,NA,0.9899,0.9725,1,24.86,141,659.5,649.6,370.5,945.8,0.6,1.836,NA,8.187,14.37,18.55,41.11,22.91,1,2000,14.99,3.097,29.28,250,202,NA,32,89,39,NA,-2.047,14.3,23.99,24.71,24.82,11.81,11.55,20.08,21.11,18.44,NA,11.53,13290,NA,NA,1666,46,NA,202560,22.7,9,5.81,NA,24.1,F5,F1,0,0,40,122,F2
963,2017,200,160,605.9,317.4,2000,288.5,3.256,863,103,1,1,1,11.09,143,NA,861.2,314.8,794.4,0.626,1.849,1.821,8.665,19.49,29.05,57.2,43.32,1,NA,3.844,3.045,NA,250,190,183,49,87,NA,284,2.706,14.69,21.65,22.48,23.81,NA,11.12,19.59,22.19,20.34,19.44,11.58,13530,41.02,-90.68,1965,35,NA,202027,30.3,10,1.94,7.56,8.03,F5,NA,0,0,60,122,F1
966,2017,190,150,611.4,331.1,2000,280.3,3.258,892,104,1,1,1,16.65,143,680.6,793.6,308.1,823.6,0.593,NA,2.621,10.35,22.31,32.83,65.5,NA,1,2000,2.116,4.417,30.21,250,198,190,58,95,64,287,2.538,14.44,NA,22.35,23.21,10.73,11.22,19.43,22.07,20.12,20.35,11.58,13630,40.99,-90.54,NA,61,6.2,NA,22.7,9,5.81,15.1,4.01,F5,F2,0,NA,NA,NA,F1
974,2017,200,160,616.8,NA,NA,281.6,3.259,911,105,1,1,1,NA,145,699.4,810.3,301.8,812.4,0.606,2.474,NA,9.658,21.93,32.89,64.48,47.02,1,1886,3.403,4.035,29.04,250,202,213,58,82,68,288,2.548,14.15,21.75,22.14,23.05,NA,11.25,NA,22.42,20.3,20.38,NA,13900,40.97,-90.31,2107,31,6.2,NA,NA,NA,NA,18.9,4.01,NA,F2,0,0,45,122,F1
981,2018,190,150,660,NA,2000,156.2,2.707,896,101,0.9678,0.899,1,22.52,140,726.5,788.3,412.6,989.6,0.606,NA,1.669,10.93,23.9,33.23,68.06,NA,1,2000,4.535,2.827,40.41,250,196,66,38,82,30,484,-1.772,14.42,23.9,24.85,25.5,12.17,11.51,20.72,20.89,18.53,22.13,11.65,12800,40.87,-91,1639,35,9.29,117381,18.9,13,1.94,22.7,8.03,NA,F2,0,0,40,122,F1
986,2017,200,160,609.7,NA,2000,281.2,3.228,876,103,1,1,1,10.83,142,676.8,782.3,307.4,800.7,0.603,2.549,2.541,8.547,14.85,19.85,43.24,NA,1,2000,2.53,NA,28.42,250,188,197,50,98,53,290,2.765,14.74,21.39,22.51,23.94,NA,NA,19.48,22.09,20.29,19.92,11.64,13600,40.91,-90.77,1930,80,9.29,157778,24.6,NA,NA,18.9,8.03,NA,NA,NA,0,10,122,F1
987,2018,180,140,606.3,322,2000,284.3,3.094,969,103,1,1,1,37.53,142,634.8,712.8,383.3,926.6,0.611,2.17,2.14,12.76,26.2,36.54,75.49,49.33,1,2000,3.192,3.559,25.68,250,214,78,32,87,NA,513,-2.073,14.59,23.71,NA,24.18,11.46,11.94,NA,21.07,18.19,NA,11.6,NA,40.9,-90.78,1791,NA,9.29,87284,30.3,10,9.68,11.3,8.03,F5,F2,0,NA,40,122,F1
997,2018,160,120,608.3,325.7,2000,282.6,2.694,1016,103,1,1,NA,38.57,142,638.3,681.5,392.6,939.1,0.599,2.48,2.476,NA,17.49,NA,50.6,26.84,1,2000,3.112,4.124,26.38,250,213,66,50,NA,NA,541,NA,14.42,NA,24.73,23.36,NA,11.97,20.38,20.55,18.55,21.18,11.44,13520,40.87,-90.62,1619,62,NA,139391,30.3,10,5.81,NA,NA,F5,F2,0,0,24,122,F1
1015,2018,180,140,610,323.6,2000,286.5,3.177,1022,106,1,1,1,23.97,NA,651.5,706.4,NA,NA,0.585,1.938,1.875,7.883,13.61,17.78,NA,NA,1,2000,4.101,NA,25.13,250,220,80,97,91,71,463,-2.375,14.38,23.02,23.5,22.21,10.39,12.28,NA,20.28,19.91,20.68,11.21,13990,41.2,-89.96,1872,38,15.5,115215,NA,6,11.6,13.2,8.03,F5,F2,0,0,40,122,F1
1032,2017,200,160,606.3,320,2000,286.4,3.26,1014,105,1,1,1,23.69,145,677.1,773.9,304.6,838.2,0.6,2.027,2.006,6.825,14.1,22.42,43.34,43.71,1,2000,3.612,3.346,NA,250,266,225,67,86,83,287,2.95,14.21,21.92,22.38,22.75,10.83,11.19,19.05,22.4,20.29,20.39,NA,13650,41.17,-89.45,2092,26,9.29,NA,3.78,7,1.94,1.89,16.1,F5,F1,0,0,40,122,NA
1046,2018,180,140,615.9,332.7,2000,283.2,3.175,1049,105,1,1,1,31.39,143,NA,NA,420.6,NA,NA,NA,2.229,8.629,14.77,19.27,42.66,24.64,1,2000,4.357,3.712,26.24,250,206,100,91,77,76,499,-2.174,14.2,NA,23.83,22.91,10.63,12.35,20.13,20.28,19.62,20.69,11.18,13850,41.14,-90.14,1820,40,9.29,201764,22.7,9,NA,5.67,8.03,F5,F2,0,0,NA,122,F1
1051,2017,200,160,612.3,NA,2000,285.7,2.711,963,106,1,1,1,NA,148,677.8,907.9,318.1,839.3,0.622,2.092,2.027,6.449,11.33,15.56,33.34,22.56,1,2000,4.301,3.372,25.32,NA,NA,212,86,65,84,283,2.557,14.08,22.29,21.8,22.43,10.05,11.37,19.84,21.96,21.11,19.93,NA,NA,41.14,-90.07,1853,24,9.29,249046,18.9,13,9.68,24.6,16.1,F5,F2,0,0,NA,NA,F1
1059,2017,180,140,617.8,333,2000,284.8,3.258,964,NA,NA,1,1,8.136,146,NA,855.8,298.5,853.8,0.623,2.304,NA,8.797,19.19,29.13,57.12,44.83,1,2000,4.718,NA,NA,NA,230,219,83,73,81,278,2.655,14.11,22.04,22.05,22.75,10.41,11.18,19.23,22.12,20.32,20.11,11.35,13730,41.13,-89.84,2050,45,9.29,168262,24.6,14,1.94,18.9,8.03,F5,F2,0,0,40,NA,F1
1060,2018,200,160,614.1,325.2,2000,288.9,3.21,1012,105,1,1,1,24.6,143,668.5,685.2,417.6,936,0.593,2.113,1.989,8.547,14.74,18.92,42.21,23.56,1,2000,4.472,3.279,26.39,250,NA,95,100,95,56,455,-1.967,14.32,23.06,23.99,23.08,10.88,11.92,NA,NA,19.31,20.69,11.33,13690,41.1,-89.81,1881,59,NA,220783,1.89,6,13.6,NA,20.1,F5,F1,0,0,40,122,F1
1066,2018,180,140,614.8,338,2000,276.9,3.22,NA,105,1,1,1,26.44,143,676.3,714.2,413.7,933.5,0.598,1.962,1.881,7.138,12.53,16.74,36.4,22.61,1,NA,5.965,3.098,22.6,250,NA,109,132,105,56,455,-1.821,14.37,23.09,23.98,23.12,11.02,11.85,20.35,19.58,19.19,20.41,11.25,13510,41.15,-89.62,1872,NA,9.29,175069,30.3,NA,9.68,1.89,16.1,NA,F2,0,0,40,128,F1
1102,2017,180,140,612.6,346.5,2000,NA,3.261,947,NA,NA,1,1,8.847,145,670.9,820.8,291.8,813.5,0.626,NA,2.533,8.981,15.44,20.5,NA,NA,1,2000,5.323,4.268,27.2,250,235,220,81,92,64,255,NA,14.45,22.06,22.61,NA,11.03,11.09,19.16,22.42,NA,20.29,11.55,13280,41.04,-89.7,1997,45,9.29,72896,NA,9,9.68,13.2,8.03,F5,F2,0,0,40,122,NA
1109,2018,170,130,615.5,NA,2000,282.8,3.221,1061,106,1,1,NA,24.57,142,685.9,669.6,412.2,928.8,0.59,2.413,2.356,9.227,15.74,20.35,45.32,26.06,1,15.72,3.679,3.942,27.89,NA,241,97,NA,92,NA,442,-1.276,15.03,23.26,NA,23.46,NA,11.73,20.67,19.73,18.76,20.71,11.31,13530,41.01,-89.53,1818,46,9.29,137547,22.7,9,1.94,5.67,8.03,F1,F2,0,0,40,122,F1
1128,2017,180,140,616.9,335.6,2000,281.4,3.257,972,104,1,1,1,14.37,NA,692,825.8,291,779.7,NA,2.516,2.454,10.74,23.04,33.7,67.47,48.64,NA,2000,NA,4.115,NA,250,224,221,82,NA,NA,272,2.942,14.66,21.48,22.41,NA,11.09,11.01,19.66,21.56,20.47,19.57,11.54,13590,NA,-89.96,2047,23,9.29,102942,18.9,13,9.68,18.9,16.1,F5,F1,0,2258,40,122,F2
1138,2017,190,150,553.2,NA,2000,245.5,3.262,936,106,0.9988,0.9927,1,12.59,NA,NA,828.2,313.9,794.6,0.612,2.524,2.387,10.54,21.48,31.24,63.26,49.62,1,2000,6.162,3.961,29.25,250,NA,216,88,86,63,243,3.321,14.4,22.27,NA,NA,10.99,11.22,19.63,22.32,20.1,20.44,11.56,12850,40.96,-89.65,2011,37,9.29,196529,NA,10,13.6,15.1,8.03,F5,F1,2354,0,40,NA,F1
1142,2017,180,140,345.2,160.1,2000,185.1,2.88,853,104,0.9928,NA,1,35.19,142,351.4,844.4,320.1,792.9,NA,1.212,1.043,5.241,NA,NA,30.23,37.8,NA,NA,46.9,1.745,15.1,250,221,190,43,NA,97,227,3.644,15.1,21.54,22.63,24.42,11.92,11.01,19.97,21.65,20.64,18.98,11.81,10770,40.91,-89.53,1559,21,9.29,259510,22.7,9,9.68,11.3,16.1,F5,F2,0,0,NA,NA,NA
1144,2017,200,160,500.9,213.3,2000,287.6,3.254,NA,104,1,1,1,14.61,NA,522.5,844.5,NA,777.3,0.623,NA,1.403,6.919,NA,23.24,45.18,42.29,1,2000,16.73,2.396,17.54,NA,221,190,43,75,97,227,3.644,NA,NA,22.63,24.42,11.92,11.01,NA,21.65,20.64,18.98,11.81,12700,40.92,-89.54,1992,44,15.5,254303,30.3,10,1.94,15.1,8.03,F5,F2,0,0,45,122,F1
1157,2017,190,150,620.9,339.2,2000,281.8,3.254,893,104,1,1,1,10.73,143,705.2,821.5,315.3,797.4,NA,2.48,2.369,10.9,24.72,35.82,71.45,47.79,1,2000,4.609,3.932,27.38,250,NA,215,54,77,81,274,2.788,NA,21.3,22.46,23.18,10.9,11.14,19.89,21.82,20.66,20.15,11.7,13570,NA,-90.25,2076,41,9.29,198425,30.3,10,5.81,5.67,4.01,F5,F2,0,0,45,122,F1
1162,2018,200,160,600.4,309.1,2000,291.3,3.223,1024,104,1,1,1,21.11,141,613.2,630.8,456.3,918.5,0.576,1.227,1.035,6.111,10.16,13.53,29.79,19.32,0.9867,2000,4.911,1.726,21.99,250,225,65,102,109,33,490,-1.661,NA,23.03,24.86,23.32,11.39,11.95,20.36,19.36,NA,20.76,11.53,13250,40.85,-90.13,1844,18,NA,297396,22.7,9,9.68,NA,16.1,NA,F2,0,0,10,122,F1
1165,2017,190,150,612.8,NA,2000,284.8,3.256,NA,NA,NA,1,1,19.87,143,690.1,831.9,302.2,781.4,NA,2.266,2.22,NA,21.14,31.65,62.22,46.99,1,2000,3.966,3.709,26.29,250,217,232,77,NA,109,268,3.022,14.72,21.41,22.4,23.43,11.12,NA,19.67,22.05,20.62,19.51,11.63,13740,40.89,-90.02,2091,NA,9.29,75024,NA,9,1.94,22.7,20.1,F5,F1,0,0,25,6.57,F1
1167,2017,200,160,616.4,333.6,2000,NA,3.256,967,104,1,1,1,19.09,143,696.5,831.9,302.2,784.2,0.622,2.419,NA,10.2,NA,33.29,66.1,47.38,1,NA,3.7,3.905,28.47,250,217,232,77,64,109,268,3.022,14.72,21.41,22.4,23.43,11.12,11.05,19.67,22.05,NA,19.51,11.63,13620,40.88,-89.95,2081,43,9.29,180609,18.9,NA,5.81,26.5,4.01,F5,F2,0,NA,45,122,F1
