site_id,year,N_fert_grower,N_fert_reduced,dul_dep,ll15_dep,root_depth,whc,LAI_max,rain_annual,day_sow,swdef_photo_fw,swdef_expan_fw,swdef_pheno_fw,L1,day_v5,sw_dep_v5,biomass_v5,surfaceom_wt_v5,root_wt_v5,lai_v5,oc_20cm_v5,oc_40cm_v5,n_20cm_v5,n_40cm_v5,n_60cm_v5,n_0_60cm_v5,n_deep_v5,esw_pct_v5,water_table_v5,sand_40cm,om_40cm,clay_40cm,restriction,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,rad_1,rad_2,rad_3,rad_4,rad_5,rad_6,Y_corn_lt_avg,lat,long,P,junk1,junk2,junk3,junk4,junk5,junk6,junk7,junk8,junk9,junk10,junk11,junk12,junk13,junk14,junk15
316,2017,200,160,638.8,384.1,1581,254.6,3.391,899,97,0.7855,0.5116,1,7.484,NA,716.2,NA,279.7,690.9,0.5453,1.257,1.197,2.453,4.7,6.733,13.89,9.663,1,2000,6.049,2,30.8,250,NA,233,64,91,NA,311,6.745,16.08,21.52,24.13,25.98,14.67,11.31,NA,21.76,20.96,20.28,12.72,11210,38.22,-88.44,1403,37,9.29,188774,18.9,NA,9.68,7.56,8.03,F5,F2,0,2824,40,122,F2
335,2017,210,170,572.5,265.6,1598,306.9,NA,994,96,0.802,0.5254,1,17.81,132,635.5,787.2,279.1,614.9,0.567,1.192,1.12,2.411,6.345,NA,20.04,25.45,1,2000,7.671,1.843,19.95,250,186,350,28,58,28,344,6.799,15.83,21.51,24.11,25.79,14.65,11.41,18.48,22.26,21.1,20.3,12.71,12210,38.07,-88.29,1269,NA,9.29,420054,NA,9,5.81,13.2,4.01,F5,F2,0,0,40,122,NA
338,2017,200,160,547.9,259.3,1601,288.6,NA,NA,100,NA,0.6737,NA,22.27,135.4,616.7,780.2,310.9,703,NA,1.195,1.115,2.116,3.504,4.921,10.54,9.815,1,NA,8.409,1.834,20.24,NA,202,266,43.85,78.15,32.53,NA,5.738,16.13,22.05,23.43,NA,13.88,11.73,19.02,NA,20.34,20.95,12.44,11560,38.91,-88.01,NA,30,NA,378723,30.3,10,1.94,NA,16.1,F5,F1,0,0,55,122,F1
340,2017,210,170,599.7,326,1588,273.7,3.471,1074,NA,0.7654,0.4759,1,19.25,134,689.8,798.3,273.8,676.3,0.556,1.091,0.9258,NA,5.041,9.377,16.6,21.66,1,2000,6.091,1.497,15.4,94.68,220,263,NA,81,25,430,5.785,16.02,21.94,NA,25.91,14.05,11.53,18.75,22.23,20.74,20.41,12.46,11480,38.85,-87.85,1376,72,NA,201375,NA,12,13.6,NA,NA,F5,F1,0,0,NA,122,F1
345,2017,200,160,605.8,332.5,1578,273.2,NA,1061,99,NA,0.4492,1,14.11,134,689.6,803.4,NA,682.4,0.5496,1.133,0.9712,2.061,3.537,5.168,NA,9.427,1,1885,NA,1.567,15.47,119.1,211,268,39,86,22,NA,5.783,15.98,21.88,23.57,25.92,14.04,11.54,19.04,22.54,20.7,20.52,NA,11420,38.77,-87.91,1282,44,9.29,150076,22.7,9,NA,15.1,8.03,NA,F2,0,0,30,122,F1
348,2018,210,170,602.3,327.7,1591,274.5,2.587,1495,NA,1,1,1,41.71,135,624,547.3,400.5,806.8,NA,1.395,1.32,2.9,3.757,4.376,11.03,9.526,1,2000,6.248,2.171,19.7,250,430,57,116,155,12,725,NA,14.78,24.46,25.56,26.6,15.09,11.29,20.92,19.18,17.92,22.22,12.08,11600,38.79,-87.68,1427,29,18.6,95423,24.6,14,5.81,1.89,4.01,F5,F2,0,0,36,122,NA
356,2018,210,170,597.6,341.6,1572,255.9,2.276,1522,97,1,1,NA,49.85,135,608.4,562.5,416,818.8,0.4514,0.9467,0.8471,1.855,2.36,2.764,6.979,8.222,1,2000,7.792,1.377,16.25,97.04,436,58,NA,173,15,731,1.724,14.33,24.04,NA,26.27,14.75,11.05,21.08,19.35,17.53,22.1,NA,11170,38.66,NA,1103,59,9.29,284834,NA,13,5.81,1.89,24.1,F5,F1,2885,0,30,NA,F1
358,2017,210,170,415.6,212.6,1603,202.9,3.123,1053,96,0.6374,0.2824,1,55.56,132,495.6,665.4,262.9,692.2,0.5036,1.548,1.506,2.236,3.779,5.294,11.31,11.41,1,1417,46.26,2.531,16,250,215,295,49,89,25,380,6.049,15.68,21.48,23.94,25.58,14.47,11.29,18.04,22.38,20.78,19.9,12.74,10390,NA,-87.56,1166,49,NA,233639,3.78,7,5.81,15.1,4.01,F5,F2,0,0,50,122,F1
359,2018,200,160,413.9,200.7,1603,213.2,2.343,1531,96,1,1,1,75.21,134,393,521.8,NA,827.6,0.4566,1.166,1.157,2.259,3.056,3.915,9.23,16.65,0.9011,2000,26.79,1.958,22.64,250,464,51,106,201,3,706,2.057,NA,24.49,25.46,26.8,NA,11.06,21.05,NA,17.45,22.43,12.11,10860,38.65,-87.59,1326,40,3.1,121012,18.9,13,5.81,1.89,4.01,F5,F2,7298,NA,48,122,NA
363,2017,200,160,616.3,335.9,1583,280.4,3.461,1165,97,0.78,0.4989,1,23.53,133,731.8,785.3,NA,NA,0.5617,NA,1.882,2.713,4.565,NA,13.77,12.43,1,1688,8.913,NA,25.47,250,242,366,42,95,27,393,6.01,15.64,21.64,NA,NA,14.19,NA,18.66,22.45,20.48,20.39,12.61,11850,NA,-87.78,1384,32,9.29,128016,22.7,9,7.75,NA,20.1,F5,F1,0,0,20,122,F1
370,2017,220,180,NA,159.5,1598,182.9,3.151,1123,95,NA,NA,1,54.47,131,438,625.7,262.1,688.4,0.4251,0.8179,0.7394,1.291,1.765,2.235,5.291,7.201,1,NA,56.69,1.217,10.6,250,222,353,61,97,26,364,6.124,15.77,21.35,24,25.5,14.63,11.22,17.89,NA,20.83,19.83,NA,10250,38.57,-87.57,1107,17,9.29,222618,3.78,7,9.68,22.7,16.1,F3,F1,0,0,30,122,F1
